DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
02,BEE,"NORMANNA, S. (2050)","DISCOVERY PETROLEUM, L.L.C.",220861,"MALONE, SID",G,089641,2,02531284,246
10,LIPSCOMB,"DARREN (MORROW, MIDDLE)","CONTINENTAL EXPLORATION, L.L.C.",173649,SCHNEIDER,G,089651,2,29530558,53
02,REFUGIO,MISSION RIVER (6000),"HIGH PLAINS GAS SYSTEMS, INC.",385551,SCANIO/SHELTON,O,08976,9,39132650,65
03,JEFFERSON,STOWELL (ENGLIN-MARG),MGR RESOURCES,563344,WHELAN-HUDEK UNIT,O,08987,1,24581073,279
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,42,44734487,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,9,44780989,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,11,44780991,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,22,44731590,43
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,23,44731627,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,24,44732238,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,25,44732500,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,26,44732498,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,27,44732501,108
7B,THROCKMORTON,THROCKMORTON COUNTY REGULAR,PFED OPERATING,630769,"ODELL, J. T. -A-",O,08996,28,44732502,108
