DISTRICT_NAME,COUNTY_NAME,FIELD_NAME,OPERATOR_NAME,OPERATOR_NO,LEASE_NAME,OG_CODE,LEASE_ID,WELL_NO,API,WB_Months_Inactive
04,ZAPATA,"COMITAS, S. (WILCOX CONSOL.)",THE MEDUSA COMPANY,851528,"VELA, ROBERTO",G,097310,1,50531441,60
04,NUECES,FLOUR BLUFF (DEEP CONSOL.),AMERRIL ENERGY LLC,019786,"WEBB, L. A.",G,097314,17,35531820,135
7B,PALO PINTO,MINERAL WELLS (CONGL 4540),"QUEST-TEX ENERGY OP II, LLC",684645,PUTNAM,G,097427,1,36332610,66
7B,BROWN,HOWARD (MARBLE FALLS),"R & D OPERATING, INC.",685874,"HOWARD, ROY",G,097452,1,04932801,94
04,WEBB,"LAREDO, N. (WILCOX)","RIO GRAND EXPLORATION, LLC",712691,HAIZLIP,G,097623,6,47932969,87
04,NUECES,"CONCORDIA, W. (THEODORE 5170)",J&G OIL & GAS,427635,"PFLUGER, ELIZABETH",O,09771,1,35531509,109
7B,STONEWALL,"PUMPHREY, NORTH (CONGLOMERATE)","BYNG ENERGY GROUP, INC.",118732,"ABERNATHY, CHARLES G. -B-",O,09771,1,43310099,279
10,GRAY,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,WEBB -E-,G,097715,1,17930880,58
7B,PALO PINTO,"SANTO, S.(CONGL)",CRYSTAL RIVER OIL & GAS LLC,191683,KING- LANHAM GAS UNIT,G,098175,1,36332781,142
7B,COLEMAN,HERRING (WINCHELL),RINGO RIG LLC,712386,"HERRING, V.",G,098264,1,08332790,15
7B,COLEMAN,HERRING (BRENEKE),RINGO RIG LLC,712386,"HERRING, V.",G,098265,2,08332789,15
09,YOUNG,YOUNG COUNTY REGULAR,FULLSPIKE ENERGY LLC,289935,"FINCH, -D-",O,09830,7A,50302133,37
09,YOUNG,YOUNG COUNTY REGULAR,FULLSPIKE ENERGY LLC,289935,"FINCH, -D-",O,09830,8,50382823,28
08,PECOS,PECOS VALLEY (YATES),B & B ENERGY (I),039783,"I.R.T. ""29""",G,098304,3,37133678,235
10,ROBERTS,WILLOW CREEK (MORROW UPPER),NORTHERN PACIFIC OIL INCORPORATD,614521,BRAINARD,G,098505,107,39330818,33
7B,COLEMAN,HERRING (BRENEKE),RINGO RIG LLC,712386,"HERRING, V.",G,098508,4,08332787,21
10,WHEELER,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,MECHEK,G,098553,1,48330900,131
10,WHEELER,"PANHANDLE, EAST",KIMBREL OIL CORPORATION,462131,JUDY,G,098555,1,48330902,200
04,DUVAL,NEELY (BRUNI 1900),WRINKLE INC.,945179,BORDOVSKY-STATE,G,098659,3,13135844,279
